Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 02:31,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame1.jpg'

Линия #1
 3.80624803070777e+000    1.05677382203341e+000
 4.28718993833302e+000    1.38078157037377e+000
 5.02003827605636e+000    1.38483268582746e+000
 6.01717921296605e+000    1.82955901823312e+000
 6.99754449630355e+000    2.03356993296258e+000
 8.01331901214869e+000    2.83310646052025e+000
 9.00591835372602e+000    2.99893444798507e+000
 1.00167384019358e+001    3.49421823560729e+000
 1.10481042797474e+001    3.67226941625134e+000
 1.20550020410792e+001    3.92668645142464e+000
 1.30558588287154e+001    4.59960233878190e+000
 1.40366369843559e+001    4.82896764850598e+000

Линия #2
 3.00412406657488e+000    1.53536422011371e+000
 3.63636194310744e+000    2.46621276582535e+000
 3.97158165791512e+000    2.52566404922183e+000
 5.00439258878695e+000    2.79245561234705e+000
 6.03637777505289e+000    3.00853838548304e+000
 7.02107821757129e+000    3.47877044765602e+000
 7.97903974594384e+000    3.88591919188784e+000
 9.02491047966138e+000    4.16523661773768e+000
 1.00336661663565e+001    4.53374843038678e+000
 1.10703993841063e+001    5.04140674596091e+000
 1.20683660656219e+001    5.53684186835582e+000
 1.30377359076284e+001    5.85509889533377e+000
 1.40436014882029e+001    6.04612994302052e+000

Линия #3
 2.99720302297029e+000    2.68929186191439e+000
 3.99475683218293e+000    3.15937258931468e+000
 4.41163834248844e+000    3.49681420901583e+000
 5.02668769314585e+000    4.16159294205663e+000
 6.04932892729257e+000    4.59333940741960e+000
 7.04213470502137e+000    4.77184459238173e+000
 7.98662355824526e+000    5.14111307889431e+000
 9.07002221128818e+000    5.35659051293951e+000
 1.00543097815036e+001    5.80146818011787e+000
 1.10502121015045e+001    6.17013132753967e+000
 1.20230913580860e+001    6.70390071197190e+000
 1.30793382246801e+001    6.83094043308132e+000
 1.40238270779040e+001    7.20020891959389e+000

Линия #4
 3.05269088747367e+000    3.72836805237580e+000
 3.72452104484631e+000    4.72214858125591e+000
 4.00543718675642e+000    4.60472443878082e+000
 5.01832159648096e+000    5.22678020137614e+000
 6.00033836903023e+000    5.53220869608408e+000
 6.98318088618539e+000    5.88834598078126e+000
 8.01764330626898e+000    6.25655512388497e+000
 9.02619255681263e+000    6.61238973903677e+000
 9.99680101572795e+000    7.00670995099858e+000
 1.09945612610921e+001    7.48946787589617e+000
 1.20732118826511e+001    7.41336976750322e+000
 1.29874524071542e+001    7.50404257862035e+000
 1.40496859221410e+001    7.99872102715179e+000

Линия #5
 3.14111075066704e+000    5.21084348569770e+000
 4.02546149344914e+000    5.83441259601997e+000
 5.02074450499560e+000    6.16504415094984e+000
 6.01478889963323e+000    6.41961252089584e+000
 7.03577864456817e+000    6.74994140628032e+000
 8.03271314532639e+000    7.18199054118867e+000
 9.06779487386441e+000    7.58823127678431e+000
 1.00448028534753e+001    8.37554461116276e+000
 1.10363700142953e+001    8.47798661114103e+000
 1.20391390525978e+001    8.47885969636812e+000
 1.29910596072746e+001    9.30450729278389e+000
 1.40452421123540e+001    9.30477503892020e+000

Линия #6
 3.25234724112829e+000    6.51553548451186e+000
 4.05710054992728e+000    6.98788623350257e+000
 5.03932375862802e+000    7.30599192570782e+000
 6.04560221150548e+000    7.52237736838919e+000
 7.03195414323565e+000    8.09402701054066e+000
 8.09171042440479e+000    8.43657908910436e+000
 9.05029126123176e+000    8.88175942582811e+000
 1.00859922982242e+001    9.32603175391569e+000
 1.10653254008043e+001    9.46665668115859e+000
 1.20496129710198e+001    9.91153434833695e+000
 1.30297718182058e+001    1.01028680655691e+001
 1.40601055152600e+001    1.02175332587266e+001

Линия #7
 3.04121738347611e+000    7.76062486515684e+000
 4.02509208138862e+000    8.18014813734057e+000
 5.03838936341610e+000    8.82755829493052e+000
 6.02267693363155e+000    9.27243596210888e+000
 7.00159716390875e+000    9.38770649435715e+000
 8.03482096708352e+000    9.67985245247700e+000
 9.04646675989923e+000    1.02258450300885e+001
 1.00772133292563e+001    1.03658646182406e+001
 1.10859690159515e+001    1.07343764308897e+001
 1.20673664800463e+001    1.10017733331057e+001
 1.30275988060851e+001    1.15483712498079e+001
 1.40865293426483e+001    1.18402145383824e+001

Линия #8
 3.17624835665958e+000    9.73705699655578e+000
 4.02622204769141e+000    9.82848648153638e+000
 5.01505121323923e+000    1.05522624936556e+001
 6.04497203799046e+000    1.06415732918185e+001
 7.03256258662946e+000    1.12892861189538e+001
 8.03512518878043e+000    1.12774820066836e+001
 9.04966108771674e+000    1.20009553492574e+001
 1.00563524128971e+001    1.22426951869334e+001
 1.10568506535334e+001    1.21041190996900e+001
 1.20154314903604e+001    1.25492994364138e+001
 1.30527840165646e+001    1.30949893444799e+001
 1.40598882140479e+001    1.33620835771505e+001

Линия #9
 3.00568863530182e+000    1.18946019274618e+001
 3.78184510459173e+000    1.21897745810355e+001
 5.05097110359525e+000    1.27580948581877e+001
 6.06096540719919e+000    1.32026698558206e+001
 7.06476662625899e+000    1.32669289285343e+001
 8.04616409035384e+000    1.35343258307503e+001
 8.98564415063941e+000    1.43854791569334e+001
 1.00163907199965e+001    1.45254987450855e+001
 1.10508531400801e+001    1.48937078881892e+001
 1.20865541770726e+001    1.53379802162768e+001
 1.30671258965615e+001    1.55546683285036e+001
 1.40472847437475e+001    1.57460020457357e+001
