Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 03:13,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame4.jpg'

Линия #1
 5.96433735440476e+001    8.18979561974698e+000
 6.00107131086082e+001    7.82726497685080e+000
 6.09508807433604e+001    7.23724311772240e+000
 6.19260276012623e+001    7.20391617223400e+000
 6.29178675141721e+001    6.86695254196785e+000
 6.39180770431820e+001    6.39503967486639e+000
 6.48838268424555e+001    5.74598676907998e+000
 6.59959237083518e+001    5.77175941451938e+000
 6.69366685580075e+001    5.60346519422993e+000
 6.79366472010561e+001    4.96286127159289e+000
 6.88517290761041e+001    4.79455622852400e+000
 7.00487573428951e+001    4.37333365272558e+000
 7.09551694500931e+001    4.12067947429575e+000
 7.19814113712490e+001    3.91868311883065e+000
 7.30420783892472e+001    3.86852314372016e+000
 7.39484096863587e+001    3.55682709585288e+000
 7.48885773211110e+001    2.96680523672449e+000
 7.59488864658690e+001    2.65517412553385e+000
 7.69995676660373e+001    1.55912599850963e+000

Линия #2
 5.97048353869678e+001    9.34535460331772e+000
 6.00468121286704e+001    9.20211150983834e+000
 6.09531087928878e+001    8.86511180364073e+000
 6.19794777013225e+001    8.75589552872019e+000
 6.30058812426513e+001    8.67198291213000e+000
 6.38607365146725e+001    8.25061603260571e+000
 6.49467086340382e+001    7.93899574419452e+000
 6.59985442640135e+001    7.68640289484818e+000
 6.69731947170983e+001    7.29039017995829e+000
 6.79399142374096e+001    7.34983970742131e+000
 6.89058602897503e+001    6.84417419884014e+000
 7.00514471643452e+001    6.33858444971506e+000
 7.10177049127338e+001    6.06065186610692e+000
 7.19582535093223e+001    5.74897024861223e+000
 7.29582667852651e+001    5.13366998430553e+000
 7.40358346556365e+001    4.93169527439931e+000
 7.49502238728003e+001    4.25731706472368e+000
 7.59762118193987e+001    3.86976054816945e+000
 7.70022690317855e+001    3.53281134827589e+000

Линия #3
 5.96891466858918e+001    1.03827973796752e+001
